"state","stateabb","year","binge_all","binge_male","binge_female","poverty"
"Alabama","AL",2011,13.7,20.2,7.9,19
"Alabama","AL",2012,12.3,18.2,7,19
"Alabama","AL",2013,11.2,16.3,6.5,18.7
"Alabama","AL",2014,12,17.9,6.8,19.3
"Alabama","AL",2015,11.6,16.2,7.5,18.5
"Alabama","AL",2016,13,17.6,8.8,17.1
"Alaska","AK",2011,20.8,26,15.6,10.5
"Alaska","AK",2012,16.8,20.5,12.7,10.1
"Alaska","AK",2013,19.5,23.8,14.8,9.3
"Alaska","AK",2014,20.2,25.3,14.8,11.2
"Alaska","AK",2015,20.3,23.9,16.4,10.3
"Alaska","AK",2016,18.2,21,15.1,9.9
"Arizona","AZ",2011,17.6,23.6,11.7,19
"Arizona","AZ",2012,15.3,21.1,9.7,18.7
"Arizona","AZ",2013,13.4,18,9.1,18.6
"Arizona","AZ",2014,14.9,21.1,9.1,18.2
"Arizona","AZ",2015,14.2,20.3,8.3,17.4
"Arizona","AZ",2016,15.6,21.3,10.1,16.4
"Arkansas","AR",2011,14.1,19.2,9.2,19.5
"Arkansas","AR",2012,11.8,16.3,7.7,19.8
"Arkansas","AR",2013,12.5,17.5,8,19.7
"Arkansas","AR",2014,13.3,17.9,8.9,18.9
"Arkansas","AR",2015,14.1,19.8,8.8,19.1
"Arkansas","AR",2016,15,20.6,9.8,17.2
"California","CA",2011,18.6,25.2,12.1,16.6
"California","CA",2012,16.9,23.2,10.9,17
"California","CA",2013,17.4,23.3,11.9,16.8
"California","CA",2014,15.6,20.3,11.1,16.4
"California","CA",2015,16.5,21.4,11.7,15.3
"California","CA",2016,16.3,21.5,11.2,14.3
"Colorado","CO",2011,20.1,26.3,14,13.5
"Colorado","CO",2012,19.2,24.7,13.8,13.7
"Colorado","CO",2013,18.5,23.6,13.5,13
"Colorado","CO",2014,17.5,22.8,12.2,12
"Colorado","CO",2015,17.6,23,12.4,11.5
"Colorado","CO",2016,19,24.2,13.9,11
"Connecticut","CT",2011,17.9,24.4,11.9,10.9
"Connecticut","CT",2012,17.5,22.9,12.6,10.7
"Connecticut","CT",2013,18.2,24.3,12.5,10.7
"Connecticut","CT",2014,15.9,20.8,11.3,10.8
"Connecticut","CT",2015,16.9,23.1,11.1,10.5
"Connecticut","CT",2016,16.7,21.9,11.9,9.8
"Delaware","DE",2011,20.3,27.2,13.9,11.9
"Delaware","DE",2012,18.6,23.6,14,12
"Delaware","DE",2013,17,22.4,12,12.4
"Delaware","DE",2014,15.7,21,10.8,12.5
"Delaware","DE",2015,14.9,17.8,12.4,12.4
"Delaware","DE",2016,17,20.6,13.7,11.7
"District of Columbia","DC",2011,25,31.3,19.5,18.7
"District of Columbia","DC",2012,23.1,27.2,19.6,18.2
"District of Columbia","DC",2013,22.4,28.2,17.1,18.9
"District of Columbia","DC",2014,24.9,31.2,19.4,17.7
"District of Columbia","DC",2015,27.2,33.1,21.9,17.3
"District of Columbia","DC",2016,25.6,30.5,21.3,18.6
"Florida","FL",2011,17.1,22.6,12,17
"Florida","FL",2012,16.5,22.1,11.4,17.1
"Florida","FL",2013,15.6,21.7,9.9,17
"Florida","FL",2014,15,19.8,10.6,16.5
"Florida","FL",2015,15.6,20.5,11,15.7
"Florida","FL",2016,15.5,20.1,11.3,14.7
"Georgia","GA",2011,16.6,22.5,11.1,19.1
"Georgia","GA",2012,14.4,19.4,9.8,19.2
"Georgia","GA",2013,13.1,17.3,9.2,19
"Georgia","GA",2014,14.2,19.6,9.2,18.3
"Georgia","GA",2015,15.3,20.8,10.2,17
"Georgia","GA",2016,13.3,17.4,9.7,16
"Guam","GU",2011,18.3,28.1,8.4,NA
"Guam","GU",2012,19.3,28.7,9.8,NA
"Guam","GU",2013,20.9,33.8,8.4,NA
"Guam","GU",2014,22.9,33.8,12.2,NA
"Guam","GU",2015,21.2,30.8,11.4,NA
"Guam","GU",2016,20.7,29.8,11.2,NA
"Hawaii","HI",2011,21.5,30.8,12.3,12
"Hawaii","HI",2012,18.2,25.7,11,11.6
"Hawaii","HI",2013,18.3,25.4,11.2,10.8
"Hawaii","HI",2014,19.7,28,11.4,11.4
"Hawaii","HI",2015,18.9,26.1,11.7,10.6
"Hawaii","HI",2016,18.6,24.3,12.8,9.3
"Idaho","ID",2011,16.6,22,11.2,16.5
"Idaho","ID",2012,14.1,17.9,10.5,15.9
"Idaho","ID",2013,14.9,18.9,10.9,15.6
"Idaho","ID",2014,14.8,20.8,9.1,14.8
"Idaho","ID",2015,14.1,18.6,9.8,15.1
"Idaho","ID",2016,16.1,20.3,12,14.4
"Illinois","IL",2011,23,30.2,16.1,15
"Illinois","IL",2012,21.6,29,14.6,14.7
"Illinois","IL",2013,21.8,28.4,15.5,14.7
"Illinois","IL",2014,20.2,27.5,13.3,14.4
"Illinois","IL",2015,20.2,26.4,14.4,13.6
"Illinois","IL",2016,19.9,25.6,14.5,13
"Indiana","IN",2011,17.8,23.4,12.5,16
"Indiana","IN",2012,15.9,21.6,10.6,15.6
"Indiana","IN",2013,15,20.2,10.3,15.9
"Indiana","IN",2014,14.8,19.9,10,15.2
"Indiana","IN",2015,15.7,22,9.8,14.5
"Indiana","IN",2016,17.5,23.3,12.1,14.1
"Iowa","IA",2011,23.1,30.8,15.8,12.8
"Iowa","IA",2012,21.7,28.5,15.2,12.7
"Iowa","IA",2013,21.7,28.5,15.1,12.7
"Iowa","IA",2014,21.4,27.9,15.1,12.2
"Iowa","IA",2015,19.8,26.6,13.3,12.2
"Iowa","IA",2016,21.2,27.1,15.4,11.8
"Kansas","KS",2011,17,23.1,11.2,13.8
"Kansas","KS",2012,15.8,22.3,9.5,14
"Kansas","KS",2013,15.4,21.7,9.3,14
"Kansas","KS",2014,15.8,22.8,9.1,13.6
"Kansas","KS",2015,15.6,21.4,10.1,13
"Kansas","KS",2016,16,21.8,10.4,12.1
"Kentucky","KY",2011,16.1,22.6,10.2,19.1
"Kentucky","KY",2012,14.9,21,9.1,19.4
"Kentucky","KY",2013,13.4,18.5,8.6,18.8
"Kentucky","KY",2014,12.7,18.1,7.6,19.1
"Kentucky","KY",2015,15.3,21.4,9.6,18.5
"Kentucky","KY",2016,14.6,20.5,9.2,18.5
"Louisiana","LA",2011,16.1,22.7,10.2,20.4
"Louisiana","LA",2012,16.5,24.1,9.7,19.9
"Louisiana","LA",2013,16.3,22,11.1,19.8
"Louisiana","LA",2014,16,21.4,11.1,19.8
"Louisiana","LA",2015,17.3,22.8,12.2,19.6
"Louisiana","LA",2016,16.9,22.4,11.7,20.2
"Maine","ME",2011,17.3,22.9,11.9,14.1
"Maine","ME",2012,17.7,24,11.9,14.7
"Maine","ME",2013,17.2,22.2,12.5,14
"Maine","ME",2014,17,23,11.5,14.1
"Maine","ME",2015,17.6,22.6,13,13.4
"Maine","ME",2016,18.3,23.4,13.6,12.5
"Maryland","MD",2011,18,23,13.4,10.1
"Maryland","MD",2012,16.4,21.7,11.7,10.3
"Maryland","MD",2013,14.2,18.9,10.1,10.1
"Maryland","MD",2014,15.4,19.8,11.5,10.1
"Maryland","MD",2015,14.2,17.9,10.8,9.7
"Maryland","MD",2016,15.3,19.5,11.4,9.7
"Massachusetts","MA",2011,20.6,25.4,16.1,11.6
"Massachusetts","MA",2012,19.7,25.6,14.4,11.9
"Massachusetts","MA",2013,19.4,25.5,13.8,11.9
"Massachusetts","MA",2014,17.4,23,12.4,11.6
"Massachusetts","MA",2015,17.7,23.3,12.7,11.5
"Massachusetts","MA",2016,17.8,22.3,13.8,10.4
"Michigan","MI",2011,19.7,27.3,12.7,17.5
"Michigan","MI",2012,19.2,24.7,14,17.4
"Michigan","MI",2013,18.9,24.1,13.9,17
"Michigan","MI",2014,18.9,24,14.3,16.2
"Michigan","MI",2015,18.5,24.5,12.9,15.8
"Michigan","MI",2016,19,24,14.4,15
"Minnesota","MN",2011,22.1,29.1,15.5,11.9
"Minnesota","MN",2012,21.9,28.5,15.5,11.4
"Minnesota","MN",2013,21,27,15.1,11.2
"Minnesota","MN",2014,19.5,24.6,14.8,11.5
"Minnesota","MN",2015,19.5,25.2,14,10.2
"Minnesota","MN",2016,21.3,26.5,16.2,9.9
"Mississippi","MS",2011,14.2,21.6,7.8,22.6
"Mississippi","MS",2012,12.1,17.9,7,24.2
"Mississippi","MS",2013,12.4,16.5,8.7,24
"Mississippi","MS",2014,12.8,18.5,7.6,21.5
"Mississippi","MS",2015,11.9,18.1,6.2,22
"Mississippi","MS",2016,12.3,18,7.1,20.8
"Missouri","MO",2011,19.2,26.1,12.9,15.8
"Missouri","MO",2012,17.2,23.5,11.5,16.2
"Missouri","MO",2013,17.2,23.5,11.3,15.9
"Missouri","MO",2014,15.1,20.7,9.8,15.5
"Missouri","MO",2015,16.7,22,11.6,14.8
"Missouri","MO",2016,18.4,23.6,13.5,14
"Montana","MT",2011,20.8,27.3,14.5,14.8
"Montana","MT",2012,21.7,27.3,16.3,15.5
"Montana","MT",2013,20.8,27.3,14.3,16.5
"Montana","MT",2014,18.9,25.3,12.5,15.4
"Montana","MT",2015,19.8,26.5,13.2,14.6
"Montana","MT",2016,18.9,24.9,13,13.3
"Nebraska","NE",2011,22.7,30.2,15.7,13.1
"Nebraska","NE",2012,22.1,29.1,15.5,13
"Nebraska","NE",2013,20,25.2,15,13.2
"Nebraska","NE",2014,20.3,26.8,14.1,12.4
